cid  ;ano;aaua;nvt;rm;abt;eec;cmp;pibpc;att;mert;dd;at;dsmc;fvt;meit;mct;cavt;mpet;vhd;meft;lat;vlc;vhct;mem;ipdm;mep;hiv;obit;bcg;hepa;hepb;poli;fa;dmt;rota;meni;pne;tri;tet;dtp;tpb;papi;cvdt;cvta;aaq;saldo;class
Contenda;2011;3645;194;22656001,5;4;20359;3541;11725;44;3538;53,55;300,569;49;7143;350;150;533268;200;;2630;;;;558;0,633;;3;105;124,08;;124,61;125,65;78,53;19726171,65;105,24;136,13;79,06;132,46;;127,75;;;;;;2929829,85;positivo
Corbélia;2011;5174;207;32320300,98;5;30024;3914;21200;64;3865;30,93;528,715;515,2;8764;599;232;802377;367;;2260;;;;933;0,7484;73;2;119;60,47;;92,56;93,95;103,26;30623182,76;96,74;130,7;86,51;94,42;;93,95;;;;;;1697118,22;positivo
Cornélio Procópio;2011;17143;552;85993528,62;8;126433;3668;18816;591;10154;73,57;637,946;394,53;26082;1145;664;2828284;481;;6216;;;;2325;0,7903;468;4;345;97,4;;93,94;93,25;91,7;71765979,43;93,08;124,74;94,12;85,81;;93,25;;;;;;14227549,19;positivo
Coronel Domingos Soares;2011;797;114;17283013,88;;14931;1156;13529;2;1906;4,66;1557,942;404,46;1425;188;89;110609;99;;1432;;;;286;0,6816;;;29;97,5;;91,67;92,5;101,67;17135739,87;85;144,17;113,33;155;;92,5;;;;;;147274,009999998;positivo
Coronel Vivida;2011;5502;260;35727433,04;3;48186;2595;15623;70;4840;31,66;683,252;404,93;10283;548;185;806083;363;;3157;;;;1106;0,724;29;2;140;99,26;;108,86;112,18;107,38;31654011,14;93,73;133,95;101,85;107,01;;112,18;;;;;;4073421,9;positivo
Corumbataí do Sul;2011;947;45;9518898,45;;3346;610;11768;12;945;23,18;169,528;447,82;1503;127;46;136053;81;;600;;;;218;0,6398;;;31;111,11;;95,56;113,33;124,44;9324172,17;104,44;168,89;106,67;91,11;;111,11;;;;;;194726,279999999;positivo
Cruz Machado;2011;1884;213;35097625,29;3;15901;2979;11110;35;4709;12,23;1477,372;287,44;7078;375;134;283136;241;;3388;;;;946;0,6579;;;132;85,77;;87,03;86,61;61,09;34193314,05;79,08;107,11;84,52;100,84;;87,03;;;;;;904311,240000002;positivo
Cruzeiro do Iguaçu;2011;1191;56;13972216,96;;10349;936;17041;2;1099;26,59;160,576;463,99;1646;164;;175405;164;;729;;;;206;0,7389;;1;22;93,65;;93,65;96,83;95,24;13873261,45;85,71;120,63;96,83;82,54;;96,83;;;;;;98955,5100000016;positivo
Cruzeiro do Oeste;2011;6822;268;31828283,09;5;34496;2024;16023;83;4492;26,13;781,959;551,24;9179;689;277;1083236;412;;2795;;;;857;0,743;151;3;187;100,39;;85,43;92,52;80,71;30395915,41;88,58;112,6;102,76;70,87;;92,91;;;;;;1432367,68;positivo
Cruzeiro do Sul;2011;1186;90;9684411,5;1;7511;582;23828;10;967;17,55;259,148;492,42;2052;147;45;186537;102;;626;;;;194;0,7298;;;46;101,25;;85;96,25;87,5;8626228,73;82,5;112,5;96,25;78,75;;97,5;;;;;;1058182,77;positivo
Cruzmaltina;2011;632;39;9589992,32;;3626;1038;21020;6;578;10,28;305,359;339,13;1006;74;40;91649;34;;383;;;;121;0,6759;;;25;106,06;;109,09;93,94;84,85;8532835,94;84,85;133,33;96,97;96,97;;100;;;;;;1057156,38;positivo
